image,description,category,price
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/a/u/auto-lemon-og.jpg,Lemon OG Auto Feminised Seeds,autoflowering seeds,15.95
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/m/i/mint-jelly-auto.jpg,Mint Jelly Auto Feminised Seeds,autoflowering seeds,15.95
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/s/t/strawberry-gorilla-auto.jpg,Strawberry Gorilla Auto Feminised Seeds,autoflowering seeds,36.30
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/s/t/strain_images_for_website.jpg,CBG Relief Auto Feminised Seeds ,autoflowering seeds,36.30
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/a/l/alaskd1_2.jpg,Alaskan Diesel Auto Feminised Seeds ,autoflowering seeds,14.30
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/p/i/pineapple-cookies-auto_dqjrbwpt5j2u32fr.jpg,Pineapple Cookies Auto Feminised Seeds ,autoflowering seeds,14.30
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/a/u/auto-pineapple-express-2_csiaabezjg7p2jkm.jpg,Pineapple Express #2 Auto Feminised Seeds - 5,autoflowering seeds,13.19
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/d/e/deep-forest-dc_j92pcsyu5rxjliue.png,Deep Forest Super Auto Feminised Seeds,autoflowering seeds,13.19
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/r/o/royal-cbdv-auto_mbclaf2imzh0weij.jpg,Royal CBDV Auto Feminised Seeds ,autoflowering seeds,12.09
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/r/o/royal-cbg-auto_m8erupzx2zewq2tf.jpg,Royal CBG Auto Feminised Seeds ,autoflowering seeds,12.09
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/m/i/mimosa-automatic_b5in0wvtpndsp36z.jpg,Mimosa Auto Feminised Seeds ,autoflowering seeds,33.00
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/s/t/strawberry_banana_hxtrhx2jib1t80aa.jpg,Strawberry Banana Auto Feminised Seeds ,autoflowering seeds,33.00
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/b/r/bruce_banner_6gy3foage02zs9ik.jpg,Bruce Banner Auto Feminised Seeds ,autoflowering seeds,46.20
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/f/o/forbidden-runtz-auto_nznvpyr0w2jiwymr.jpg,Forbidden Runtz Auto Feminised Seeds ,autoflowering seeds,46.20
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/m/i/mimosa_cake_9yj48detkbpwm0cb.jpg,Mimosa Cake Auto Feminised Seeds ,autoflowering seeds,27.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/p/u/purple_punch_auto_itsaksfnlphnno6a.jpg,Purple Punch Auto Feminised Seeds ,autoflowering seeds,27.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/w/e/wedding_glue_wl6gea8k5nkmzztg.jpg,Wedding Glue Auto Feminised Seeds ,autoflowering seeds,15.95
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/p/u/purple-punch-auto_2_w4mh4oheu6yrkedj.jpg,Purple Punch Auto Feminised Seeds,autoflowering seeds,15.95
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/d/o/do-si-dos-auto_mbybbx18eqcehu3p.jpg,Do-Si-Dos Auto Feminised Seeds,autoflowering seeds,15.95
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/s/h/sherbet-queen-auto_7ton8uayidhjnhdy.jpg,Sherbet Queen Auto Feminised Seeds,autoflowering seeds,15.95
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/w/a/watermelon-auto_o2afr4khafmddyrb.jpg,Watermelon Auto Feminised Seeds,autoflowering seeds,11.00
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/r/e/red-strawberry-banana-auto_jgc7vk2exlgn2ezr.jpg,Red Strawberry Banana Auto Feminised Seeds,autoflowering seeds,11.00
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/r/e/red-gorilla-girl-xl-auto_wlokp3wtmfboq6pb.jpg,Red Gorilla Girl XL Auto Feminised Seeds,autoflowering seeds,14.30
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/r/u/runtz-xl-auto_vffmzkzf0sypbsu7.jpg,Runtz XL Auto Feminised Seeds,autoflowering seeds,14.30
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/b/r/bruce-banner-auto_oyd2gnnhzqak6mxj.jpg,Bruce Banner Auto Feminised Seeds,autoflowering seeds,14.30
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/s/k/skywalker-haze-auto_d3wy7cjzbtmbqm4g.jpg,Skywalker Haze Auto Feminised Seeds,autoflowering seeds,14.30
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/a/u/auto-cbd-victory_rnlzh7ialiyifbkr.jpg,CBD-Victory Auto Feminised Seeds ,autoflowering seeds,14.30
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/c/b/cbdv_1_1_auto_8pbqichqdb41izee.png,CBDV 1:1 Auto Feminised Seeds,autoflowering seeds,14.30
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/p/u/purple-skunk-auto-pack_o3ea0gpqjsdvbtmq.png,Purple Skunk Auto Feminised Seeds,autoflowering seeds,14.30
https://www.seedsman.com/media/catalog/product/placeholder/default/IMAGE_COMING_SOON_1.png,Banana Kush Cake Auto Feminised Seeds,autoflowering seeds,14.30
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/o/g/og-kush-auto_elbrgzuftxgoamar.png,OG Kush Auto Feminised Seeds,autoflowering seeds,14.30
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/s/e/sedativa-autofloreciente_xar3u2dxonpsaqdh.jpg,Sedativa CBDV:CBD Auto Feminised Seeds,autoflowering seeds,14.30
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/m/o/monster-gelato-auto_z3i10ei5y200jxnm.png,Monster Gelato Auto Feminised Seeds,autoflowering seeds,14.30
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/b/l/blue-dream-auto_1_zme5sddq30npll69.jpg,Blue Dream Auto Feminised Seeds,autoflowering seeds,14.30
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/c/u/cure-1-1-cbd_qiibkynb0nzu0ptz.jpeg,DC Cure 1:1 CBD Auto Feminised Seeds,autoflowering seeds,10.45
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/w/a/watermelon-zkittlez-auto_plkimegt5vzkilgv.jpg,Watermelon Zkittlez Auto Feminised Seeds,autoflowering seeds,10.45
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/s/k/skywalker-og-auto_iewrvbugi5ycuqgq.jpg,Skywalker OG Auto Feminised Seeds,autoflowering seeds,11.00
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/r/u/runtz-auto_fns76rze0o2s0m85.jpg,Runtz Auto Feminised Seeds,autoflowering seeds,11.00
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/b/r/bruce-lemon-diesel-auto_a3gu3f6kdjjnzmlh.png,Bruce Lemon Diesel Auto Feminised Seeds - 8,autoflowering seeds,9.90
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/s/t/strain_images_for_website8.jpg,Strawberry Cheesecake Auto Feminised Seeds,autoflowering seeds,9.90
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/m/i/mimosa-lemon-auto_fh33rtz04ftmzqdb.png,Mimosa Lemon Auto Feminised Seeds,autoflowering seeds,11.00
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/d/p/dp-pp-auto-fem_xmf47uwymlu1pdim.jpg,Power Plant Auto Feminised Seeds,autoflowering seeds,11.00
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/u/s/usa_auto.png,USA Collection Auto Feminised Seeds,autoflowering seeds,29.70
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/t/a/taster_auto.png,Taster Collection Auto Feminised Seeds ,autoflowering seeds,29.70
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/r/e/relax_auto.png,Relax Collection Auto Feminised Seeds ,autoflowering seeds,32.45
