image,description,category,price
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/l/o/lowryder-reg_6qkabo4fwtwlwmqx.jpg,Lowryder #2 Auto Regular Seeds ,autoflowering regular seeds,55.00
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/6/0/60-day-lemon_1_atslm2yhnuqhgac6.jpg,60 Day Lemon Auto Feminised Seeds,autoflowering regular seeds,55.00
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/2/0/20201004_143400_003-01_pxvrjh85yyiqcd8a.jpeg,Tao Matic Regular Seeds - 10,autoflowering regular seeds,35.20
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/a/u/auto_tao_blueberry_1_7wgjbvr1oxnj9lx9.jpg,Tao Blueberry Auto Regular Seeds - 5,autoflowering regular seeds,35.20
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/2/0/20200925_183835_001-01_kqtbpitdrpehd1ms.jpeg,Super Tao Auto Regular Seeds - 10,autoflowering regular seeds,31.90
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/s/e/semi_auto_mix_6pcs_zoedmao1z3xgr72d.jpg,Semi Mix Auto Regular Seeds - 6,autoflowering regular seeds,31.90
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/2/0/20201004_164511-02_coik1yj5iiisc2wd.jpeg,Mix Auto Regular Seeds - 6,autoflowering regular seeds,23.10
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/m/i/micron_auto_tao_1_dn05slqgxeaketla.jpg,Micron Tao Auto Regular Seeds - 10,autoflowering regular seeds,23.10
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/2/0/20201004_143345_004-01_q4ajauay5hanatyx.jpeg,Haze Tao Auto Regular Seeds - 10,autoflowering regular seeds,45.10
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/d/e/demon_auto_tao_1_lubexsza5blwzkqp.jpg,Demon Tao Auto Regular Seeds - 10,autoflowering regular seeds,45.10
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/1/1/11407101_874829455887932_7665673043115821025_n_d2n0jqgvxgnkbk8o.jpg,Haze CBD Auto Regular Seeds - 10,autoflowering regular seeds,25.30
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/b/i/big-auto-tao_1swpfvuaaum2koz1.jpg,Big Tao Auto Regular Seeds - 5,autoflowering regular seeds,25.30
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/v/e/vesta_web_buddha_fn_afune8uksyyhwxlg.jpg,Vesta Auto Feminised Seeds,autoflowering regular seeds,19.80
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/w/h/white_sirius_bud_shoot_1_hfndhhosgeyle9il.jpg,White Sirius Auto Regular Seeds - 8,autoflowering regular seeds,19.80
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/s/u/super_blueberry_haze_n4fshueqeecped1u.jpg,Super Blueberry Haze Auto Regular Seeds - 8,autoflowering regular seeds,31.90
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/s/t/stitch_love_potion_1_1_wjwk2tbqumg5essx.jpg,Stitch's Love Potion Auto Regular Seeds - 8,autoflowering regular seeds,31.90
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/j/a/jam-berry_rtmy5eqbknyd6tlj.jpg,Strawberry Jam Auto Regular Seeds - 8,autoflowering regular seeds,45.10
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/b/u/bubble-crack_es6autjiqsf3awj3.jpg,Bubble Crack Auto Regular Seeds - 8,autoflowering regular seeds,45.10
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/s/o/sour_diesel_haze_pwcojvdw5a3tavzi.jpg,California Haze Auto Regular Seeds - 8,autoflowering regular seeds,31.90
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/h/o/holy_man_kzdxpmcayozhjgma.jpg,Holy Man Auto Regular Seeds - 8,autoflowering regular seeds,31.90
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/h/e/heaven_s_haze_dodiabfohpb8qquo.jpg,Heavenâ€™s Haze Auto Regular Seeds - 8,autoflowering regular seeds,31.90
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/o/n/onyx_bud_2_1_j7hjwr7d3yugny91.jpg,Onyx Auto Regular Seeds - 8,autoflowering regular seeds,31.90
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/s/t/stardust_full_2_htxrxhy8u6zgybhw.jpg,Stardust Auto Regular Seeds - 8,autoflowering regular seeds,23.10
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/l/e/lemon_haze_1_1_v5dw9oaxejp2rwgw.jpg,Lemon Haze Auto Regular Seeds - 8,autoflowering regular seeds,23.10
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/d/i/diesel_haze_1_1_lp0ysgea5jmv0aaz.jpg,Diesel Haze Auto Regular Seeds - 8,autoflowering regular seeds,22.00
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/k/u/kush_van_stitch_2_3xevqezjxexkhe7y.jpg,Kush Van Stitch Auto Regular Seeds - 8,autoflowering regular seeds,22.00
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/c/o/cobra_cmprefirlhvymcvj.jpg,Cobra Auto Regular Seeds - 8,autoflowering regular seeds,35.20
