image,description,category,price
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/z/k/zkittlez-fast.jpg,Zkittlez FAST Feminised Seeds,fast strains,8.25
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/c/h/cherry-pie_1.jpg,Cherry Pie FAST Feminised Seeds,fast strains,8.25
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/h/i/high_voltage_fast.jpg,High Voltage FAST Feminised Seeds,fast strains,8.25
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/g/o/gorilla_cookies_fast.jpg,Gorilla Cookies FAST Feminised Seeds,fast strains,8.25
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/c/h/cherry_pie_fast.jpg,Cherry Pie FAST Feminised Seeds,fast strains,8.80
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/a/l/alien_candy_kush_fast.jpg, Alien Candy Kush FAST Feminised Seeds,fast strains,8.80
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/s/t/strawberry-cookies.png,Strawberry Cookies FAST Feminised Seeds,fast strains,8.80
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/s/w/sweet-critical-fast.jpg,Sweet Critical FAST Feminised Seeds,fast strains,8.80
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/c/a/california-kush-fast.jpg,California Kush FAST Feminised Seeds,fast strains,8.80
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/b/l/blueberry-fast.jpg,Blueberry FAST Feminised Seeds,fast strains,8.80
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/0/0/00-kush-fast.jpg,00 Kush FAST Feminised Seeds,fast strains,8.80
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/c/r/critical-2-plus.png,Critical+ 2.0 Feminised Seeds,fast strains,8.80
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/c/r/critical-mango.png,Critical Mango Feminised Seeds,fast strains,48.40
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/f/o/forbidden-widow.jpg,Forbidden Widow Feminised Seeds,fast strains,48.40
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/g/o/gorilla-sherbet-f1-fast-version.jpg,Gorilla Sherbet F1 FAST Feminised Seeds,fast strains,0.00
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/b/a/banana-purple-punch-auto.jpg,Banana Purple Punch Auto Feminised Seeds,fast strains,0.00
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/o/n/only-cbd-7_nabyvxkadnqgzyet.jpg,Only CBD Feminised Seeds,fast strains,15.95
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/r/e/red-strawberry-banana-auto_jgc7vk2exlgn2ezr.jpg,Red Strawberry Banana Auto Feminised Seeds,fast strains,15.95
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/r/u/runtz-xl-auto_vffmzkzf0sypbsu7.jpg,Runtz XL Auto Feminised Seeds,fast strains,15.95
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/m/a/maroc-beldia_v5mbnsqghbth3eh2.jpg,Moroccan Beldia Regular Seeds - 12,fast strains,15.95
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/c/b/cbdivine.jpg,Divine CBD Feminised Seeds (CBDivine™),fast strains,15.95
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/a/m/amnesia-early-harvest_gp6mdebjmd05tuxj.jpg,Amnesia Early Harvest Feminised Seeds,fast strains,15.95
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/p/a/pakistan-valley-early-harvest_3.jpg,Pakistan Valley Early Harvest Feminised Seeds,fast strains,30.80
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/r/a/rainbow-cake_azdxtuvlmp0qennz.jpg,Rainbow Cake Feminised Seeds - 5,fast strains,30.80
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/c/b/cbg-force_8ftfjralifccjnvr.jpg,CBG-Force Feminised Seeds,fast strains,29.70
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/l/o/lostpearl_1.jpg,Lost Pearl Feminised Seeds,fast strains,29.70
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/g/e/gelato-33-fast-2_xccfoqcyutp8wqee.jpg,Gelato #33 FAST Feminised Seeds,fast strains,35.20
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/s/k/skyrocket_01.jpg,Skyrocket Feminised Seeds ,fast strains,35.20
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/n/o/northern-lights_2_3g2qpn1elhxpgh2w.jpg,Northern Lights Feminised Seeds,fast strains,30.80
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/c/r/critical-poison-fast-00-seeds_1_gmlewesy1ygxbtal.jpg,Critical Poison FAST Feminised Seeds,fast strains,30.80
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/c/r/critical-poison_2_laz6ryfnfxbrsm7a.jpg,Critical Poison Feminised Seeds,fast strains,14.30
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/c/h/chocolate-skunk_p3twsghnznkijjwz.jpg,Chocolate Skunk Feminised Seeds,fast strains,14.30
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/g/o/gorilla-fast_cug7dfzmfyjggqil.jpg,Gorilla FAST Feminised Seeds ,fast strains,25.30
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/q/u/quick-dinamed-cbd_o3gvqcewfizzsi2a.jpg,Quick Dinamed CBD Feminised Seeds ,fast strains,25.30
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/t/r/tropicanna-poison-f1-fast_m6gidl3fdqmbhe7q.jpg,Tropicanna Poison F1 FAST Feminised Seeds ,fast strains,29.70
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/g/o/gorilla-girl-f1-fast_yfoeitskomkelzqm.jpg,Gorilla Girl F1 FAST Feminised Seeds ,fast strains,29.70
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/o/g/ogkz-fast_2xd5gqlks7rrr5ie.jpg,OGKZ FAST Feminised Seeds ,fast strains,34.10
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/g/r/green-crack-fast_9zh2cnleyepl6eai.jpg,Green Crack FAST Feminised Seeds,fast strains,34.10
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/r/e/red_mandarine_f1_fast_version_sws79_gsxqhthexwlzz3jn.jpg,Red Mandarine F1 FAST Feminised Seeds,fast strains,42.63
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/s/t/strain_images_for_website29.jpg,Amnesia FAST Feminised Seeds,fast strains,42.63
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/b/b/bb_fast_293.jpg,Bruce Banger FAST Feminised Seeds,fast strains,33.00
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/c/r/crystal-candy-f1-fast_m0zvt5sp6pnmitfy.jpg,Crystal Candy F1 Fast Version Feminised Seeds,fast strains,33.00
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/w/w/wwfast1_2.jpg,White Widow FAST Feminised Seeds,fast strains,23.10
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/j/h/jhfast1.jpg,Jack Herer FAST Feminised Seeds,fast strains,23.10
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/s/t/strain_images_for_website44.jpg,C99 x Blueberry FAST Feminised Seeds,fast strains,23.10
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/f/a/fastberry_lfkbm54lhebpavto.jpg,Fastberry Auto Feminised Seeds,fast strains,23.10
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/c/b/cbd-fasteddy-new2016_zscj0cqericjjsfx.jpg,Fast Eddy CBD Auto Feminised Seeds,fast strains,52.80
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/2/f/2fast_2vast_auto_nzvqcse7nhlfixhy.jpg,2 Fast 2 Vast Auto Feminised Seeds,fast strains,52.80
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/f/a/fast_vast_auto_wifum6136d5ipmy2.jpg,Fast and Vast Auto Feminised Seeds,fast strains,27.45
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/t/h/think-fast-think-different-12-12-dp-web_n3amnhw7dtssyq1g.jpg,Think Fast Feminised Seeds,fast strains,27.45
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/f/e/fem-speedychile-ff_1n4sl0vs0dejzjtf.jpg,Speedy Chile FAST VERSION Feminised Seeds,fast strains,33.00
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/f/e/fem-candykushexpress-ff_bb7vqsl4eupgokbd.jpg,Candy Kush Express FAST Feminised Seeds,fast strains,33.00
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/f/e/fem-honeycream-ff_kp2yftqt1y71lcyr.jpg,Honey Cream FAST Version Feminised Seeds,fast strains,8.25
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/f/e/fem-royalcheese-ff_e5tsn8yzdflvv9fu.jpg,Royal Cheese FAST Version Feminised Seeds,fast strains,8.25
https://www.seedsman.com/media/catalog/product/placeholder/default/IMAGE_COMING_SOON_1.png,Blue Dream FAST Feminised Seeds,fast strains,33.00
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/p/a/papaya-bomb-x-gmo-cookies.jpg,Papaya Bomb x GMO Cookies FAST Feminised Seeds,fast strains,33.00
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/p/a/papaya-bomb-x-cotton-candy-2.jpg,Papaya Bomb x Cotton Candy FAST Feminised Seeds,fast strains,15.95
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/s/u/supafreak-reg.jpg,Supafreak Regular Seeds - 10,fast strains,15.95
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/p/p/ppd-reg.jpg,PPD Regular Seeds - 10,fast strains,15.95
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/p/p/ppd.jpg,PPD Feminised Seeds,fast strains,15.95
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/i/c/ice_cream_cake.jpg,Ice Cream Cake FAST Feminised Seeds,fast strains,15.95
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/s/u/sugar_cookies.jpg,Sugar Cookies FAST Feminised Seeds,fast strains,15.95
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/p/a/papa_smurf.jpg,Papa Smurf FAST Feminised Seeds,fast strains,15.95
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/b/k/bk_og.jpg,BK OG FAST Feminised Seeds,fast strains,15.95
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/s/o/sour_glue.jpg,Sour Glue FAST Feminised Seeds,fast strains,15.95
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/d/o/dosidos.jpg,Dosidos FAST Feminised Seeds,fast strains,15.95
https://www.seedsman.com/media/catalog/product/placeholder/default/IMAGE_COMING_SOON_1.png,GMO FAST Feminised Seeds,fast strains,28.05
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/k/i/king_kong.jpg,King Kong FAST Feminised Seeds,fast strains,28.05
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/m/e/mendo_candy.jpg,Mendo Candy FAST Feminised Seeds,fast strains,32.45
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/p/a/paigow.jpg,Pai-Gow FAST Feminised Seeds,fast strains,32.45
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/c/a/cali-doctor_zdoo369jtgy5pmbh.jpg,Cali Doctor CBD 1:1 Auto Feminised Seeds ,fast strains,29.70
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/b/a/barb-auto-hogg_wsndybgritfm97nx.jpg,Barb Auto Regular Seeds - 12,fast strains,29.70
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/b/u/bubble-gum-fast_r3nsfacys2mnehu6.jpg,Bubble Gum FAST Feminised Seeds ,fast strains,12.09
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/e/a/early-gorilla_iml0kwlb6qujj824.jpg,Early Gorilla Feminised Seeds ,fast strains,12.09
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/f/a/fast-master-bud_ch4qhvnjclx0dl4w.png,Fast Master Feminised Seeds,fast strains,12.09
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/i/m/img_4394_xxx_pa_mk_gwt4sfmfnczibjko.jpg,Power Africa x MK Ultra FAST Feminised Seeds,fast strains,12.09
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/i/m/img_3164_x_os_e6sptqmu0slwxr5n.jpg,Original Skunk #1 FAST Feminised Seeds,fast strains,24.20
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/i/m/img_3559_xxx_pa_fast_kdp2e5sjnby69lje.jpg,Power Africa FAST Feminised Seeds,fast strains,24.20
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/c/r/critical-ogre-3_ln0trfvtlz5b8vqk.jpg,Critical Ogre 'Big 'N Fast' Auto Feminised Seeds,fast strains,12.09
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/f/a/fast-ryder-2-bulldog-web_h6jet14hynaiznya.jpg,Fast Ryder 2 Auto Feminised Seeds,fast strains,12.09
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/f/a/fast-ryder-1-bulldog-web_r1hqxpj98cmftkcp.jpg,Fast Ryder 1 Auto Feminised Seeds,fast strains,10.99
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/s/w/sweet_skunk_fast_kw2gzpljccvd2a4e.png,Sweet Skunk FAST Version Feminised Seeds,fast strains,10.99
