image,description,category,price
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/p/o/positronics_cbd120_00.jpg,CBD 1:20 Feminised Seeds,feminised cannabis seeds,44.00
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/t/_/t.h.seeds_vanilla-sundae-flower_1.jpg,Vanilla Sundae Feminised Seeds,feminised cannabis seeds,44.00
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/w/a/watermelon-ultra-th-seeds.jpg,WaterMelon Ultra Feminised Seeds,feminised cannabis seeds,66.00
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/p/u/purple-banana-cream_1.jpg,Purple Banana Cream Feminised Seeds,feminised cannabis seeds,66.00
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/t/_/t.h.seeds-wy-kiki-image_1.png,Wy-Kiki Feminised Seeds,feminised cannabis seeds,66.00
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/b/u/buddha-cookie-fem-00.jpg,Buddha Cookie Feminised Seeds,feminised cannabis seeds,66.00
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/b/u/buddha-gelato-00.jpg,Buddha Gelato Feminised Seeds,feminised cannabis seeds,66.00
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/b/u/buddha-dosi2-00.jpg,Buddha DoSi2 Feminised Seeds,feminised cannabis seeds,66.00
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/p/i/pineapple-muffin-00.jpg,Pineapple Muffin Feminised Seeds,feminised cannabis seeds,66.00
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/t/h/the-bling-00.jpg,The Bling Feminised Seeds ,feminised cannabis seeds,66.00
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/b/l/blueberry-muffin-00.jpg,Blueberry Muffin Feminised Seeds,feminised cannabis seeds,27.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/a/l/all-gas-og-03.jpg,All Gas OG Feminised Seeds,feminised cannabis seeds,27.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/b/a/banana-mango-fem-00.jpg,Banana Mango Feminised Seeds,feminised cannabis seeds,26.40
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/f/a/family-jewels-fem-02.jpg,Family Jewels Feminised Seeds,feminised cannabis seeds,26.40
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/m/a/mango-sherbert-fem-00_1.jpg,Magic Melon Feminised Seeds,feminised cannabis seeds,25.30
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/m/a/mango-sherbert-fem-00.jpg,Mango Sherbert Feminised Seeds,feminised cannabis seeds,25.30
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/p/i/pineapple-upside-down-cake-02.jpg,Pineapple Upside Down Cake Feminised Seeds,feminised cannabis seeds,55.00
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/c/o/collie-man-kush-fem-00.jpg,Collie Man Kush Feminised Seeds,feminised cannabis seeds,55.00
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/f/r/freakshow-fem-01.jpg,Freakshow Feminised Seeds,feminised cannabis seeds,36.30
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/m/o/mountaintop-mint-01.jpg,Mountaintop Mint Feminised Seeds,feminised cannabis seeds,36.30
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/o/g/og-kush-fem_1.jpg,OG Kush Feminised Seeds,feminised cannabis seeds,36.30
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/s/t/strawberry-cheesecake-fem_1_1.jpg,Strawberry Cheesecake Feminised Seeds,feminised cannabis seeds,36.30
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/b/i/bigfoot-glue_ra6qzs5gmuvjeglj_1.jpg,Bigfoot Glue Feminised Seeds,feminised cannabis seeds,36.30
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/c/a/cali-crasher-fem.jpg,Cali Crasher Feminised Seeds,feminised cannabis seeds,36.30
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/l/e/lemongrass-fem-00.jpg,Lemongrass Feminised Seeds,feminised cannabis seeds,55.00
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/s/t/stoopid-fruits-00.jpg,Slightly Stoopid Fruits Feminised Seeds,feminised cannabis seeds,55.00
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/s/u/supafreak-fem.jpg,Supafreak Feminised Seeds,feminised cannabis seeds,36.30
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/p/u/pure-cbg.jpg,Pure CBG Feminised Seeds,feminised cannabis seeds,36.30
