image,description,category,price
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/e/l/elite_starkiller-2.jpg,Elite Star Killer Regular Seeds,regular cannabis seeds,66.00
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/i/c/ice-candy-opt.jpg,Ice Candy Regular Seeds,regular cannabis seeds,66.00
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/c/h/champagne-orange-reg-00.jpg,Champagne Orange Regular Seeds,regular cannabis seeds,99.00
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/k/a/karels-cookies.png,Karel's Cookies Regular Seeds,regular cannabis seeds,99.00
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/d/p/dp_names.jpg,Strawberry Cheesecake Regular Seeds - 10 ,regular cannabis seeds,66.00
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/p/i/pineapple-muffin_2.jpg,Pineapple Muffin Regular Seeds - 10,regular cannabis seeds,66.00
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/b/l/blue-dream-reg.jpg,Blue Dream Regular Seeds - 10,regular cannabis seeds,220.00
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/b/l/blueberry-reg.jpg,Blueberry Regular Seeds - 10,regular cannabis seeds,220.00
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/d/u/durban-poison-reg.jpg,Durban Poison Regular Seeds - 10,regular cannabis seeds,71.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/o/r/orange-bud-reg.jpg,Orange Bud Regular Seeds - 10,regular cannabis seeds,71.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/s/k/skunk-_1-reg.jpg,Skunk #1 Regular Seeds - 10,regular cannabis seeds,71.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/e/m/emerald-fire-og_1.jpg,Emerald Fire OG Regular Seeds - 10,regular cannabis seeds,71.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/d/o/don-carlos_1.jpg,Don Carlos Regular Seeds - 10,regular cannabis seeds,27.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/a/p/apple-blossom-reg_2.jpg,Apple Blossom Regular Seeds - 10 ,regular cannabis seeds,27.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/a/m/amnesia_regular.jpg,Amnesia Regular Seeds - 10,regular cannabis seeds,22.00
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/l/i/limon-picon.jpg,Limón Picón Regular Seeds - 3,regular cannabis seeds,22.00
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/l/e/lemon-caramel.jpg,Lemon Caramel Regular Seeds - 3,regular cannabis seeds,27.50
https://www.seedsman.com/media/catalog/product/placeholder/default/IMAGE_COMING_SOON_1.png,Smac Town Regular Seeds - 3,regular cannabis seeds,27.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/t/h/thai_a5_haze_4_1.jpg,Thai A5 Haze Regular Seeds - 10,regular cannabis seeds,27.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/t/h/thai_chiang_mai_bud_finishing4_1.jpg,Thai Regular Seeds,regular cannabis seeds,27.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/z/a/zamaldelica-3.jpg,Zamaldelica Regular Seeds - Breeders Pack - 50,regular cannabis seeds,27.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/n/e/nepal-jam_1.jpg,Nepal Jam Regular Seeds - Breeders Pack - 30,regular cannabis seeds,27.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/h/o/honduras-reg.jpg,Honduras Regular Seeds - Breeders Pack - 30,regular cannabis seeds,71.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/a/k/ak-47_platinum_reg_1.jpg,AK-47 Platinum Regular Seeds,regular cannabis seeds,71.50
https://www.seedsman.com/media/catalog/product/placeholder/default/IMAGE_COMING_SOON_1.png,Chem Cookies Regular Seeds - 10,regular cannabis seeds,99.00
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/f/r/friesland.png,Friesland Regular Seeds - 12,regular cannabis seeds,99.00
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/p/t/pts-ct-reg-12-g_3_.jpg,Cherry Tini Regular Seeds - 12,regular cannabis seeds,71.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/p/t/pts-lc-reg-12-g_3_.jpg,Lemon Curd Regular Seeds - 12,regular cannabis seeds,71.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/p/t/pts-bing-reg-12-g_8_.jpg,Bingsu Regular Seeds - 12,regular cannabis seeds,22.00
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/p/t/pts-spr-reg-12-g_2_.jpg,Spritz Regular Seeds - 12,regular cannabis seeds,22.00
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/p/t/pts-pl-reg-12-g_5_.jpg,Peach Lassi Regular Seeds - 12,regular cannabis seeds,35.20
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/p/t/pts-zz-reg-12-g_5_.jpg,ZaiZai Regular Seeds - 12,regular cannabis seeds,35.20
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/m/a/mango-heaven.jpg,Mango Heaven Regular Seeds,regular cannabis seeds,35.20
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/a/m/amnesia-haze-reg-amgen_k4uiq06c2zarrqro.jpg,Amnesia Haze Regular Seeds - 10,regular cannabis seeds,35.20
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/c/r/critical-mass-reg-amgen_ftk3r3obhje8fv8o.jpg,Critical Mass Regular Seeds - 10,regular cannabis seeds,35.20
https://www.seedsman.com/media/catalog/product/placeholder/default/IMAGE_COMING_SOON_1.png,New Caledonia 2 Regular Seeds ,regular cannabis seeds,35.20
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/s/h/shining-silver-haze-reg_vv3twcd9ncnpjknr.jpg,Shining Silver Haze Regular Seeds - 10,regular cannabis seeds,110.00
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/c/r/critical-regular_dlngulcbxskj5eso.jpg,Critical Regular Seeds - 10,regular cannabis seeds,110.00
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/w/h/white-widow-regular_0socyn9uwle32moa.jpg,White Widow Regular Seeds - 10,regular cannabis seeds,38.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/a/m/amnesia-haze-regular_ljnlt7zefhffv3hn.jpg,Amnesia Haze Regular Seeds - 10,regular cannabis seeds,38.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/p/e/persian-prince_7kg6hwugdcr0mzny.jpg,Persian Prince Regular Seeds,regular cannabis seeds,291.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/a/l/aladdins-skunk_2d3laqlzqoqqv02r.jpg,Aladdin's Skunk Regular Seeds ,regular cannabis seeds,291.50
