image,description,category,price
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/p/o/positronics_cbd120_00.jpg,CBD 1:20 Feminised Seeds,High CBD Seeds,44.00
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/p/o/positronic_cbd_caramelice_express_01.jpg,Caramel Ice CBD Express Auto Feminised Seeds,High CBD Seeds,44.00
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/s/t/strawberry-cake-cbd.jpg,Strawberry Cake CBD Feminised Seeds,High CBD Seeds,38.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/c/b/cbd-chronic_xlskpzl12ixifjgm_1.jpg,Chronic CBD Feminised Seeds,High CBD Seeds,38.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/c/b/cbd-rich-candy.jpg,Rich Candy CBD Feminised Seeds,High CBD Seeds,23.10
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/s/w/sweet-critical-cbd-2021.jpg,Sweet Critical CBD Feminised Seeds,High CBD Seeds,23.10
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/b/u/bubble-gum-cbd-2021.jpg,Bubble Gum CBD Feminised Seeds,High CBD Seeds,35.20
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/n/o/northern-lights-cbd_1.jpg,Northern Lights CBD Feminised Seeds,High CBD Seeds,35.20
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/h/a/harlequin-cbd_1.jpg,Harlequin CBD Feminised Seeds,High CBD Seeds,30.80
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/c/c/cc-boh-fem-6-p.jpg,Boax-Hindu CBD Feminised Seeds - 6,High CBD Seeds,30.80
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/s/s/sssc-el-auto-fem-g.jpg,Elephant Auto Feminised Seeds,High CBD Seeds,15.95
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/g/i/gifted-cbd.jpg,Gifted CBD Feminised Seeds,High CBD Seeds,15.95
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/c/b/cbd-remedy.jpeg,Remedy CBD Feminised Seeds - 10,High CBD Seeds,15.95
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/m/e/medtonic-cbd.jpeg,Medtonic CBD Feminised Seeds - 10,High CBD Seeds,15.95
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/c/b/cbd-mazar.jpg,Mazar CBD Feminised Seeds,High CBD Seeds,15.95
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/f/e/fenoqueen-fq-1.jpg,Fenoqueen CBD Feminised Seeds,High CBD Seeds,15.95
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/f/n/fnc-fm-cbd-fem-p.jpg,Fenomed CBD Feminised Seeds,High CBD Seeds,15.95
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/f/e/fenoswiss-fs-1.jpg,Fenoswiss CBD Feminised Seeds,High CBD Seeds,15.95
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/f/e/fenomoon-fo-1.jpg,Fenomoon CBD Feminised Seeds,High CBD Seeds,66.00
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/f/e/fenocheese-fc-1.jpg,Fenocheese CBD Feminised Seeds,High CBD Seeds,66.00
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/o/n/only-cbd-7_nabyvxkadnqgzyet.jpg,Only CBD Feminised Seeds,High CBD Seeds,44.00
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/r/o/royal-cbdv-auto_mbclaf2imzh0weij.jpg,Royal CBDV Auto Feminised Seeds ,High CBD Seeds,44.00
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/r/o/royal-cbg-auto_m8erupzx2zewq2tf.jpg,Royal CBG Auto Feminised Seeds ,High CBD Seeds,29.70
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/c/b/cbdivine.jpg,Divine CBD Feminised Seeds (CBDivine™),High CBD Seeds,29.70
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/c/b/cbdream.jpg,Dream CBD Feminised Seeds (CBDream™),High CBD Seeds,99.00
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/c/b/cbdenergy.jpg,Energy CBD Feminised Seeds (CBDenergy™),High CBD Seeds,99.00
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/c/b/cbdrelax.jpg,Relax CBD Feminised Seeds (CBDrelax™),High CBD Seeds,99.00
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/c/b/cbdelight.jpg,Delight CBD Feminised Seeds (CBDelight™),High CBD Seeds,99.00
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/c/b/cbdrelief.jpg,Relief CBD Feminised Seeds (CBDrelief™),High CBD Seeds,20.85
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/c/o/compromise-cbd-v2_1_cnlhpc3qphwhziii.jpg,Compromise CBD Feminised Seeds (Version 2),High CBD Seeds,20.85
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/c/u/cure-1-1-cbd_qiibkynb0nzu0ptz.jpeg,DC Cure 1:1 CBD Auto Feminised Seeds,High CBD Seeds,9.16
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/d/e/deepcandy-cbd.jpg,Deep Candy CBD Feminised Seeds,High CBD Seeds,9.16
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/a/u/auto-cbd_knog6zlmzl5ce1yp.jpg,CBD 30:1 AUTO Feminised Seeds ,High CBD Seeds,9.16
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/a/m/amnesia-haze_5_1_xrj5oxa9bbak07it.jpg,Amnesia Haze Auto Feminised Seeds - 5 ,High CBD Seeds,9.16
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/r/e/recovery-cbd_nlqfv1m0j4insyc7.jpg,Recovery CBD Feminised Seeds,High CBD Seeds,9.16
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/r/e/red-cross-cbd_x8dpznwcvfus5yxy.jpg,Red Cross CBD Feminised Seeds,High CBD Seeds,9.16
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/y/-/y-griega-cbd-2_jqa1z61m75fyutgh.jpg,Y Griega CBD 2.0 Feminised Seeds,High CBD Seeds,9.16
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/e/l/elixir-vitae-cbd_9aya70oqmup987d5.jpg,Elixir Vitae CBD Feminised Seeds,High CBD Seeds,9.16
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/b/l/blue-monkey-cbd_kt2qnxehrhxoraob.jpg,Blue Monkey CBD Feminised Seeds,High CBD Seeds,9.16
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/0/0/00-white-widow-cbd-fem_1_ienuebwqoekynmfc.jpg,White Widow CBD Feminised Seeds,High CBD Seeds,9.16
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/c/h/chocolate-skunk-cbd_1_4kn9jnrcoj15tj9i.jpg,Chocolate Skunk CBD Feminised Seeds,High CBD Seeds,25.30
