image,description,category,price
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/b/u/buddha-wedding-cheesecake-00.jpg,Buddha Wedding Cheesecake Feminised Seeds,High THC Seeds,26.40
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/g/o/gorila-auto-00.jpg,Gorila Auto Feminised Seeds,High THC Seeds,26.40
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/b/u/buddha-cookie-fem-00.jpg,Buddha Cookie Feminised Seeds,High THC Seeds,30.80
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/b/u/buddha-gelato-00.jpg,Buddha Gelato Feminised Seeds,High THC Seeds,30.80
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/p/i/pineapple-muffin-00.jpg,Pineapple Muffin Feminised Seeds,High THC Seeds,27.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/t/h/the-bling-00.jpg,The Bling Feminised Seeds ,High THC Seeds,27.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/a/l/all-gas-og-03.jpg,All Gas OG Feminised Seeds,High THC Seeds,26.40
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/b/a/banana-mango-fem-00.jpg,Banana Mango Feminised Seeds,High THC Seeds,26.40
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/m/a/mango-sherbert-fem-00_1.jpg,Magic Melon Feminised Seeds,High THC Seeds,55.00
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/m/a/mango-sherbert-fem-00.jpg,Mango Sherbert Feminised Seeds,High THC Seeds,55.00
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/f/r/freakshow-fem-01.jpg,Freakshow Feminised Seeds,High THC Seeds,36.30
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/c/a/cali-sour-diesel-00.jpg,Cali Sour Diesel Feminised Seeds,High THC Seeds,36.30
