image,description,category,price
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/p/o/positronicsseeds_cbd_caramelice_auto_1.jpg,Critical #47 Express Auto Feminised Seeds,indica seeds,33.00
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/p/o/positronic_cbd_caramelice_express_01.jpg,Caramel Ice CBD Express Auto Feminised Seeds,indica seeds,33.00
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/s/t/strawberry-cheesecake-auto.jpg,Strawberry Cheesecake Auto Feminised Seeds,indica seeds,38.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/p/u/purple-banana-cream_1.jpg,Purple Banana Cream Feminised Seeds,indica seeds,38.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/b/u/buddha-wedding-cheesecake-00.jpg,Buddha Wedding Cheesecake Feminised Seeds,indica seeds,14.30
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/g/o/gorila-auto-00.jpg,Gorila Auto Feminised Seeds,indica seeds,14.30
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/b/u/buddha-cookie-fem-00.jpg,Buddha Cookie Feminised Seeds,indica seeds,66.00
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/b/u/buddha-gelato-00.jpg,Buddha Gelato Feminised Seeds,indica seeds,66.00
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/b/u/buddha-dosi2-00.jpg,Buddha DoSi2 Feminised Seeds,indica seeds,26.40
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/b/u/buddha-auto-cookie-00.jpg,Buddha Cookie Auto Feminised Seeds,indica seeds,26.40
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/b/u/buddha-auto-zkittlez-00.jpg,Buddha Zkittlez Auto Feminised Seeds,indica seeds,30.80
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/t/h/the-bling-00.jpg,The Bling Feminised Seeds ,indica seeds,30.80
