image,description,category,price
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/p/u/pure-cbg.jpg,Pure CBG Feminised Seeds,Low THC Seeds,30.80
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/c/b/cbd-warlock-2_s4u7fkbjgn6evuai_1.jpg,Warlock CBD Feminised Seeds,Low THC Seeds,30.80
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/c/b/cbd-chronic_xlskpzl12ixifjgm_1.jpg,Chronic CBD Feminised Seeds,Low THC Seeds,35.20
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/s/w/sweet-critical-cbd-2021.jpg,Sweet Critical CBD Feminised Seeds,Low THC Seeds,35.20
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/b/u/bubble-gum-cbd-2021.jpg,Bubble Gum CBD Feminised Seeds,Low THC Seeds,35.20
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/n/o/northern-lights-cbd_1.jpg,Northern Lights CBD Feminised Seeds,Low THC Seeds,35.20
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/h/a/harlequin-cbd_1.jpg,Harlequin CBD Feminised Seeds,Low THC Seeds,15.95
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/c/b/cbd-remedy.jpeg,Remedy CBD Feminised Seeds - 10,Low THC Seeds,15.95
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/m/e/medtonic-cbd.jpeg,Medtonic CBD Feminised Seeds - 10,Low THC Seeds,15.95
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/s/t/strain_images_for_website.jpg,CBG Relief Auto Feminised Seeds ,Low THC Seeds,15.95
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/o/n/only-cbd-7_nabyvxkadnqgzyet.jpg,Only CBD Feminised Seeds,Low THC Seeds,15.95
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/r/o/royal-cbdv-auto_mbclaf2imzh0weij.jpg,Royal CBDV Auto Feminised Seeds ,Low THC Seeds,15.95
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/r/o/royal-cbg-auto_m8erupzx2zewq2tf.jpg,Royal CBG Auto Feminised Seeds ,Low THC Seeds,15.95
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/a/u/auto-cbd-victory_rnlzh7ialiyifbkr.jpg,CBD-Victory Auto Feminised Seeds ,Low THC Seeds,15.95
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/c/b/cbdv_1_1_auto_8pbqichqdb41izee.png,CBDV 1:1 Auto Feminised Seeds,Low THC Seeds,99.00
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/c/b/cbdivine.jpg,Divine CBD Feminised Seeds (CBDivine™),Low THC Seeds,99.00
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/c/b/cbdream.jpg,Dream CBD Feminised Seeds (CBDream™),Low THC Seeds,99.00
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/c/b/cbdenergy.jpg,Energy CBD Feminised Seeds (CBDenergy™),Low THC Seeds,99.00
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/c/b/cbdrelax.jpg,Relax CBD Feminised Seeds (CBDrelax™),Low THC Seeds,13.19
