image,description,category,price
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/s/t/strain_images_for_website33.jpg,OG Kush Auto Feminised Seeds,Seedsman Seeds,12.09
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/l/a/larry_lemon.png,Larry Lemon OG Auto Feminised Seeds,Seedsman Seeds,12.09
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/l/a/lapey1_1.jpg,L.A. Peyote Kush Feminised Seeds,Seedsman Seeds,13.19
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/s/t/strain_images_for_website8.jpg,Strawberry Cheesecake Auto Feminised Seeds,Seedsman Seeds,13.19
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/g/e/gelatogauto1_1.jpg,Gelat.OG Auto Feminised Seeds,Seedsman Seeds,12.09
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/p/g/pgor1_1.jpg,Peyote Gorilla Feminised Seeds,Seedsman Seeds,12.09
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/s/t/strain_images_for_website21.jpg,Purple Kush CBD 1:1 Auto Feminised Seeds,Seedsman Seeds,13.19
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/s/t/strain_images_for_website30.jpg,Badazz Cookies OG Feminised Seeds,Seedsman Seeds,13.19
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/s/t/strain_images_for_website35.jpg,Bubba Kush Feminised Seeds,Seedsman Seeds,13.19
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/b/s/bs_a.jpg,Black Sugar Feminised Seeds,Seedsman Seeds,13.19
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/s/t/strain_images_for_website38.jpg,Critical Purple Kush Feminised Seeds,Seedsman Seeds,13.19
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/s/t/strain_images_for_website44.jpg,C99 x Blueberry FAST Feminised Seeds,Seedsman Seeds,13.19
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/b/l/blueberry-2_1.jpg,Blueberry Feminised Seeds,Seedsman Seeds,12.09
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/s/t/strain_images_for_website55.jpg,Blueberry Auto Feminised Seeds,Seedsman Seeds,12.09
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/p/e/peywifi1_1.jpg,Peyote Wi-Fi Feminised Seeds,Seedsman Seeds,12.09
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/s/t/strain_images_for_website.jpg,CBG Relief Auto Feminised Seeds ,Seedsman Seeds,12.09
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/a/l/alaskd1_2.jpg,Alaskan Diesel Auto Feminised Seeds ,Seedsman Seeds,12.09
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/f/u/fuel_dog_b.jpg,Fuel D.OG Feminised Seeds ,Seedsman Seeds,12.09
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/p/g/pgc_a_293.jpg,Purple Ghost Candy Feminised Seeds ,Seedsman Seeds,12.09
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/c/b/cbdv_1_1_auto_8pbqichqdb41izee.png,CBDV 1:1 Auto Feminised Seeds,Seedsman Seeds,12.09
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/s/t/strain_images_for_website6.jpg,Diet Durban THCV 1:1 Feminised Seeds,Seedsman Seeds,12.09
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/b/d/bdream_1.jpg,Blue Dream Feminised Seeds,Seedsman Seeds,12.09
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/u/s/usa_fem.png,USA Collection Feminised Seeds ,Seedsman Seeds,10.99
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/t/a/taster_fem.png,Taster Collection Feminised Seeds ,Seedsman Seeds,10.99
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/r/e/relax_fem.png,Relax Collection Feminised Seeds ,Seedsman Seeds,10.99
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/c/l/classic_fem.png,Classic Collection Feminised Seeds,Seedsman Seeds,10.99
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/h/i/hithc_fem.png,High THC Collection Feminised Seeds,Seedsman Seeds,12.09
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/b/e/beginner_fem_2.png,Beginner Collection Feminised Seeds ,Seedsman Seeds,12.09
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/u/s/usa_auto.png,USA Collection Auto Feminised Seeds,Seedsman Seeds,13.19
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/t/a/taster_auto.png,Taster Collection Auto Feminised Seeds ,Seedsman Seeds,13.19
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/r/e/relax_auto.png,Relax Collection Auto Feminised Seeds ,Seedsman Seeds,13.19
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/c/l/classic_auto.png,Classic Collection Auto Feminised Seeds ,Seedsman Seeds,13.19
